"alice" "great_expectations"
"the" 6.02250165453342 4.33717356683657
"and" 3.18405765129789 3.76939424444338
"i" 2.00382381057431 3.54941970396647
"to" 2.66563717920435 2.70414223244864
"of" 1.87881461872196 2.36113108458634
"a" 2.320023531142 2.15553744627135
"it" 2.18766085741599 1.48922231276864
"that" 1.15817339510258 1.63782496844191
"in" 1.34936392381793 1.60959579012405
"was" 1.31259651444959 1.51052735300854
"you" 1.51114052503861 1.23089869985992
"he" 0.459592617104199 1.20373477355405
"had" 0.654459886756379 1.11478623055249
"my" 0.213250974336348 1.10253583241455
"me" 0.250018383704684 1.06312150797075
"as" 0.966982866387234 0.944878534639332
"his" 0.352967129936025 0.990151745149109
"with" 0.66549010956688 0.937421770555369
"at" 0.779469078608721 0.872974023829687
"said" 1.69865431281712 0.718512482090451
"on" 0.709611000808883 0.756328928516264
"for" 0.562541363335539 0.737687018306356
"she" 2.03323773806898 0.490015925517579
"her" 0.91183175233473 0.624237679028916
"s" 0.739024928303552 0.625835557046908
"but" 0.62504595926171 0.56884457440519
"not" 0.533127435840871 0.568311948399193
"him" 0.158099860283844 0.613052532902972
"be" 0.544157658651371 0.550735290201279
"have" 0.294139274946687 0.577366590501148
"when" 0.290462534009854 0.469776137289679
"so" 0.555187881461872 0.423437674767908
"all" 0.669166850503713 0.391480114408066
"t" 0.801529524229723 0.363250936090206
"out" 0.415471725862196 0.416513536689942
"this" 0.492683285535701 0.398404252486032
"were" 0.312522979630855 0.422905048761911
"if" 0.352967129936025 0.415980910683945
"by" 0.209574233399515 0.422905048761911
"there" 0.363997352746526 0.395208496450048
"what" 0.518420472093536 0.357392050024234
"we" 0.125009191852342 0.412252528641963
"is" 0.397088021178028 0.349402659934274
"joe" 0 0.397871626480034
"no" 0.330906684315023 0.342478521856308
"mr" 0 0.378697090264129
"up" 0.360320611809692 0.317445099574432
"would" 0.305169497757188 0.319042977592424
"been" 0.139716155599676 0.324369237652398
"or" 0.283109052136186 0.300401067382516
"from" 0.132362673726009 0.308923083478474
"one" 0.382381057430693 0.268443507022674
"which" 0.180160305904846 0.291879051286558
"into" 0.246341642767851 0.263649872968698
"could" 0.283109052136186 0.257258360896729
"very" 0.529450694904037 0.211985150386953
"do" 0.297816015883521 0.243410084740798
"they" 0.558864622398706 0.20452838630299
"then" 0.345613648062358 0.233290190626848
"now" 0.220604456210015 0.241279580716808
"an" 0.209574233399515 0.239149076692819
"little" 0.4706228399147 0.197604248225024
"know" 0.319876461504522 0.208256768344971
"down" 0.375027575557026 0.189082232129066
"them" 0.323553202441356 0.196006370207032
"more" 0.180160305904846 0.215180906422937
"your" 0.227957938083683 0.206658890326979
"again" 0.305169497757188 0.191212736153055
"time" 0.250018383704684 0.192810614171048
"come" 0.169130083094345 0.199202126243016
"about" 0.345613648062358 0.170440321919158
"who" 0.231634679020516 0.183223346063095
"like" 0.312522979630855 0.167777191889171
"alice" 1.46334289285977 0
"upon" 0.0955952643576734 0.194941118195037
"miss" 0.0147069637473344 0.203995760296992
"should" 0.0992720052945069 0.186419102099079
"some" 0.187513787778513 0.173103451949145
"went" 0.305169497757188 0.154461541739237
"looked" 0.165453342157512 0.173103451949145
