experiment;duration
A;199
A;184
A;242
A;236
A;216
A;176
A;223
A;186
A;210
A;220
A;221
A;204
A;234
A;166
A;213
A;206
A;215
A;191
A;273
A;174
A;254
A;215
A;214
A;194
A;259
A;180
A;224
A;224
A;208
A;185
A;214
A;158
A;222
A;219
A;226
B;187
B;247
B;182
B;192
B;186
B;204
B;205
B;239
B;204
B;194
B;188
B;192
B;159
B;227
B;159
B;195
B;193
B;171
B;190
B;280
B;205
B;206
B;206
B;178
B;199
B;189
B;184
B;154
B;174
B;134
B;199
B;168
B;178
B;188
B;190
C;203
C;250
C;241
C;195
C;216
C;170
C;222
C;246
C;221
C;235
C;210
C;263
C;273
C;318
C;220
C;237
C;183
C;240
C;222
C;192
C;202
C;225
C;199
C;339
C;223
C;221
C;239
C;235
C;248
C;204
C;226
C;206
C;194
C;205
C;182
