id,duration,intensity,cog,sdev,skew,kurt,Segment,Vowel,Variety,Stress,Voice,Position
1,0.0603982026,32.671794093,757.6052357163,1104.704765414,13.8350139746,210.5236313294,d,a,CG,Unstressed,Voiced,Middle
2,0.0456561608,38.906220188,732.582944998,1065.089424283,12.6544651315,186.8563926185,d,a,CG,Unstressed,Voiced,Middle
3,0.0509072031,47.2093040092,647.6967276238,1627.3577674449,7.647965524,61.6153152629,d,a,CG,Unstressed,Voiced,Middle
4,0.0510486357,41.7039700326,1017.1793534394,2318.7979067392,5.5703668294,33.783924629,d,a,CG,Unstressed,Voiced,Middle
5,0.0284077094,44.3456090152,1132.5249424205,848.894792647,7.1054948172,108.4539103584,d,a,CG,Unstressed,Voiced,Middle
6,0.0342909911,47.4388862838,1000.1171837434,553.1876206235,19.0740505719,507.0782460227,d,a,CG,Unstressed,Voiced,Middle
7,0.0614541537,29.3806818193,1741.2982770825,3326.4619735321,3.0493816399,8.7935025332,d,a,CG,Unstressed,Voiced,Middle
8,0.0503776667,27.4538969365,3631.9197287033,5132.5635308964,1.6685636253,1.5133697249,d,a,CG,Unstressed,Voiced,Middle
9,0.0479302801,43.8836123405,962.042753157,792.9714271092,14.1342278371,293.1207979385,d,a,CG,Unstressed,Voiced,Middle
10,0.0480787732,39.2913046962,894.5676869571,992.4633388587,15.8400021558,283.2651903142,d,a,CG,Unstressed,Voiced,Middle
11,0.0416036649,44.8203575874,529.833224551,446.9851522584,27.8440274604,1012.4117663742,d,a,CG,Unstressed,Voiced,Middle
12,0.0301925166,45.4702219468,555.902641562,825.6167791587,17.0669902407,344.6095692323,d,a,CG,Unstressed,Voiced,Middle
13,0.0415780743,27.5066886403,1652.1508432423,3523.464177216,4.7806042707,21.7607307,d,a,CG,Unstressed,Voiced,Middle
14,0.0457853794,24.6475734972,1765.8644147049,2764.2548892556,6.1931368441,37.5920014567,d,a,CG,Unstressed,Voiced,Middle
15,0.0646770044,36.6787887763,936.5827419493,1201.7227734168,10.292313413,133.2749534902,d,a,CG,Unstressed,Voiced,Middle
16,0.0638850411,37.8533622392,662.7511129804,1103.0552749689,10.7755756827,148.959880496,d,a,CG,Unstressed,Voiced,Middle
17,0.0509639083,46.0277489562,588.4382179394,754.4012211287,16.5290684628,342.8356174678,d,a,CG,Unstressed,Voiced,Middle
18,0.0472263127,55.4720125011,574.7290065304,228.6976238565,28.1006589473,1905.1364818131,d,a,CG,Unstressed,Voiced,Middle
19,0.0424900218,33.5798867972,790.1323664201,1354.8753117025,7.9312123279,73.8277532113,d,a,CG,Unstressed,Voiced,Middle
20,0.0576655214,49.8828080246,711.0884319135,366.5937474452,22.2584980796,828.6954214985,d,a,CG,Unstressed,Voiced,Middle
21,0.0791578338,40.8278213803,770.6767604924,1108.784169535,9.3008436417,99.9742026399,d,a,CG,Unstressed,Voiced,Middle
22,0.0620164185,52.6998733092,912.3562217991,1127.1806673037,9.1177003233,115.1949044852,d,a,CG,Unstressed,Voiced,Middle
23,0.0540899948,43.2422378823,627.6073868245,679.4899514393,20.5108521447,487.8397886807,d,a,CG,Unstressed,Voiced,Middle
24,0.038085736,36.6076963602,566.1048708617,648.2526879005,20.832095199,500.5126615116,d,a,CG,Unstressed,Voiced,Middle
25,0.0470063229,44.0264550151,854.8010309552,937.4607399334,14.1579175141,258.1245073868,d,a,CG,Unstressed,Voiced,Middle
26,0.0501367442,49.689926451,797.0757659795,869.1731813327,13.3444381106,240.9230603494,d,a,CG,Unstressed,Voiced,Middle
27,0.0329989748,31.8736616058,874.1471261457,1755.7116604789,8.5390216297,83.435559115,d,a,CG,Unstressed,Voiced,Middle
28,0.0465828425,31.0749931111,624.32988706,1032.8316404273,17.4346488177,322.9195069083,d,a,CG,Unstressed,Voiced,Middle
29,0.0533585287,25.0549047138,1660.7966416593,3817.0095036002,4.1290664761,16.4931618053,d,a,CG,Unstressed,Voiced,Middle
